Genome	Genome_accession
MGYG000005136	CAJJMI01
MGYG000005137	CAJKBK01
MGYG000005138	CAJJVN01
MGYG000005139	CAJMPE01
MGYG000005140	CAJLWW01
MGYG000005141	CAJLWQ01
MGYG000005142	CAJJVH01
MGYG000005143	CAJMNQ01
MGYG000005144	GCA_009156535
MGYG000005145	CAJJNZ01
MGYG000005146	CAJKKO01
MGYG000005147	CAJMHU01
MGYG000005148	CAJJMQ01
MGYG000005149	CAJKJI01
MGYG000005150	GCA_009679665
MGYG000005151	CAJKZX01
MGYG000005152	GCA_009880055
MGYG000005153	CAJKKC01
MGYG000005154	CAJKNF01
MGYG000005155	CAJJXN01
MGYG000005156	CAJJUS01
MGYG000005157	CAJJNI01
MGYG000005158	CAJLQU01
MGYG000005159	CAJKLK01
MGYG000005160	CAJLSY01
MGYG000005161	CAJKVX01
MGYG000005162	CAJKEY01
MGYG000005163	GCA_009717065
MGYG000005165	CAJKJA01
MGYG000005166	CAJMBI01
MGYG000005167	CAJLXJ01
MGYG000005168	CAJJXS01
MGYG000005169	CAJKEU01
MGYG000005170	GCA_009895485
MGYG000005171	CAJLID01
MGYG000005172	CAJKSE01
MGYG000005173	CAJKDL01
MGYG000005174	CAJMCO01
MGYG000005175	CAJJTE01
MGYG000005176	CAJJTC01
MGYG000005177	GCA_009718345
MGYG000005178	GCA_009157115
MGYG000005179	CAJLXH01
MGYG000005180	CAJKDQ01
MGYG000005181	CAJJIS01
MGYG000005182	CAJLAD01
MGYG000005183	CAJJVK01
MGYG000005184	CAJLZA01
MGYG000005185	GCA_009877005
MGYG000005186	CAJLAH01
MGYG000005187	CAJLRZ01
MGYG000005188	CAJJTL01
MGYG000005189	GCA_009889205
MGYG000005190	CAJKUQ01
MGYG000005191	CAJMEO01
MGYG000005192	GCA_008571155
MGYG000005193	CAJMHY01
MGYG000005194	CAJJJE01
MGYG000005195	CAJLJD01
MGYG000005196	GCA_009680955
MGYG000005197	CAJJKR01
MGYG000005198	CAJLVZ01
MGYG000005199	CAJMPZ01
MGYG000005200	CAJKTG01
MGYG000005201	CAJKPA01
MGYG000005202	CAJMFZ01
MGYG000005203	GCA_009680365
MGYG000005204	CAJLNN01
MGYG000005205	CAJKZV01
MGYG000005206	CAJKUO01
MGYG000005207	GCA_009717395
MGYG000005208	CAJLEO01
MGYG000005209	GCA_008566785
MGYG000005210	CAJMCK01
MGYG000005211	CAJLFK01
MGYG000005212	CAJMGZ01
MGYG000005213	CAJLUM01
MGYG000005214	CAJLIX01
MGYG000005215	CAJKMI01
MGYG000005216	CAJLOK01
MGYG000005217	CAJKKZ01
MGYG000005218	GCA_009025335
MGYG000005219	CAJJKH01
MGYG000005220	CAJLJG01
MGYG000005221	CAJJJV01
MGYG000005222	CAJKKF01
MGYG000005223	CAJKWC01
MGYG000005224	CAJJQT01
MGYG000005225	CAJJTF01
MGYG000005226	CAJMHN01
MGYG000005227	CAJKBF01
MGYG000005228	CAJKWL01
MGYG000005229	CAJLHL01
MGYG000005230	GCA_009101845
MGYG000005231	GCA_009678195
MGYG000005232	CAJMGH01
MGYG000005233	CAJLHD01
MGYG000005234	CAJKTJ01
MGYG000005235	CAJKDR01
MGYG000005236	CAJKHM01
MGYG000005238	CAJLMC01
MGYG000005239	CAJKML01
MGYG000005240	CAJKRE01
MGYG000005241	CAJLOT01
MGYG000005242	GCA_009682975
MGYG000005243	CAJLJR01
MGYG000005244	CAJKTR01
MGYG000005245	CAJJUX01
MGYG000005246	CAJJJQ01
MGYG000005247	GCA_009876325
MGYG000005248	CAJLGV01
MGYG000005249	CAJJNH01
MGYG000005250	CAJMDK01
MGYG000005251	GCA_009876165
MGYG000005252	GCA_009719205
MGYG000005253	CAJJWT01
MGYG000005254	CAJMIS01
MGYG000005255	CAJKAB01
MGYG000005256	CAJLFP01
MGYG000005257	CAJJNV01
MGYG000005258	CAJLKW01
MGYG000005259	CAJKUN01
MGYG000005260	CAJKBL01
MGYG000005261	CAJKID01
MGYG000005262	GCA_009107895
MGYG000005263	CAJLNX01
MGYG000005265	CAJLYJ01
MGYG000005266	CAJLCY01
MGYG000005267	CAJMPM01
MGYG000005268	GCA_008572295
MGYG000005269	CAJKLS01
MGYG000005270	CAJLCT01
MGYG000005271	CAJKKB01
MGYG000005272	GCA_009076985
MGYG000005273	CAJLLD01
MGYG000005274	CAJJKU01
MGYG000005275	CAJJRS01
MGYG000005276	CAJMJP01
MGYG000005277	CAJLET01
MGYG000005278	CAJJVY01
MGYG000005279	CAJKBC01
MGYG000005280	CAJMLE01
MGYG000005281	CAJKXP01
MGYG000005282	CAJLCE01
MGYG000005284	CAJMII01
MGYG000005285	CAJLZR01
MGYG000005286	CAJKVK01
MGYG000005287	CAJLMF01
MGYG000005288	CAJMGP01
MGYG000005289	CAJLVE01
MGYG000005290	CAJKOO01
MGYG000005291	CAJKIP01
MGYG000005292	CAJKCX01
MGYG000005293	GCA_009717765
MGYG000005294	CAJLGJ01
MGYG000005295	CAJJKG01
MGYG000005296	GCA_009717635
MGYG000005297	CAJMMI01
MGYG000005298	CAJKBR01
MGYG000005299	CAJMKQ01
MGYG000005300	CAJMGI01
MGYG000005301	CAJKXT01
MGYG000005302	CAJKCE01
MGYG000005303	CAJJZO01
MGYG000005304	CAJMEF01
MGYG000005305	CAJJRM01
MGYG000005306	CAJLVB01
MGYG000005307	CAJLGH01
MGYG000005308	CAJKNS01
MGYG000005309	CAJMDD01
MGYG000005310	CAJJID01
MGYG000005311	CAJLBU01
MGYG000005312	CAJKKT01
MGYG000005313	GCA_009101615
MGYG000005314	CAJKOD01
