Genome	Genome_accession
MGYG000059037	ERZ878369
MGYG000161260	ERZ848665
MGYG000124168	ERZ879073
MGYG000179910	ERZ975896
MGYG000221236	ERZ944697
MGYG000210028	ERZ860810
MGYG000028382	ERZ904415
MGYG000264985	ERZ831157
MGYG000198309	ERZ987612
MGYG000244333	ERZ848458
MGYG000285049	ERZ845000
MGYG000108302	ERZ867461
MGYG000153678	GCA_001578585.1
MGYG000147096	ERZ849612
MGYG000123541	ERZ837917
MGYG000174502	CAAEFG01
MGYG000028292	ERZ947853
MGYG000028548	ERZ905080
MGYG000053699	ERZ838101
MGYG000125352	ERZ934225
MGYG000239998	ERZ982639
MGYG000196347	ERZ946670
MGYG000078064	ASVA01
MGYG000214801	ERZ846567
MGYG000052225	ERZ906495
MGYG000173035	ERZ906325
MGYG000212383	ERZ906771
MGYG000198389	USDQ01
MGYG000002532	UGHC01,CABMOB01
MGYG000268252	ERZ967209
MGYG000112890	ERZ977687
MGYG000268977	CXFF01
MGYG000062321	ERZ844293
MGYG000073735	QRNK01
MGYG000148818	ERZ949968
MGYG000262249	URQT01
MGYG000114086	FAWE01
MGYG000083846	FWMY01
MGYG000129998	QUJT01
MGYG000019823	ERZ935563
MGYG000201737	ERZ847467
MGYG000153854	ERZ866387
MGYG000256890	ERZ895877
MGYG000139920	ERZ862911
MGYG000218760	ERZ877903
MGYG000220236	ERZ929658
MGYG000148980	ERZ947607
MGYG000138227	ERZ961840
MGYG000190773	ERZ897213
MGYG000141338	ERZ874111
MGYG000107355	ERZ862619
MGYG000000387	CABPZT01
MGYG000124865	ERZ896560
MGYG000004624	CABVDQ01
MGYG000104902	ERZ843934
MGYG000128938	MWGM01
MGYG000220684	ERZ981194
MGYG000063956	ERZ874261
MGYG000213378	ERZ903357
MGYG000250868	ERZ989525
MGYG000204655	ERZ960252
MGYG000047824	ERZ838878
MGYG000018879	ERZ876194
MGYG000194990	ERZ981665
MGYG000213652	ERZ876262
MGYG000130904	ERZ863988
MGYG000137110	ERZ895501
MGYG000173826	ERZ980363
MGYG000076667	ERZ979205
MGYG000022272	ERZ937476
MGYG000039218	ERZ967223
MGYG000126384	ERZ844589
MGYG000116873	ERZ980914
MGYG000201021	ERZ831838
MGYG000031414	ERZ879812
MGYG000082810	ERZ863208
MGYG000153786	ERZ837638
MGYG000143314	ERZ905257
MGYG000193358	ERZ878313
MGYG000131390	ERZ976384
MGYG000264422	ERZ843779
MGYG000129687	ERZ958839
MGYG000228406	ERZ963505
MGYG000129897	ERZ973647
MGYG000001227	CABRGB01
MGYG000138338	ERZ831320
MGYG000158334	ERZ978485
MGYG000175117	BCYD01
MGYG000137024	ERZ830643
MGYG000162245	ERZ899408
MGYG000224630	ERZ945789
MGYG000135053	ERZ931869
MGYG000180697	ERZ930482
MGYG000044375	ERZ899194
MGYG000143200	ERZ903944
MGYG000048820	ERZ932564
MGYG000145767	ERZ986408
MGYG000068826	ERZ946187
MGYG000116347	ERZ898706
MGYG000143340	CAAFIY01
MGYG000120281	ERZ847170
MGYG000235335	ERZ934986
MGYG000234426	ERZ902054
MGYG000211458	ERZ833008
MGYG000076711	PQUA01
MGYG000167409	NQIX01
MGYG000249829	JHST01
MGYG000031874	FAWG01
MGYG000173058	ERZ903765
MGYG000135675	ERZ961562
MGYG000218557	ERZ985986
MGYG000204245	ERZ944467
MGYG000205295	ERZ971026
MGYG000074491	ERZ880094
MGYG000231310	ERZ982162
MGYG000219967	ERZ852239
MGYG000260356	ERZ969736
MGYG000274315	ERZ986752
MGYG000027230	ERZ844478
MGYG000045190	ERZ866572
MGYG000041272	ERZ934534
MGYG000221432	ERZ931452
MGYG000180425	ERZ965997
MGYG000170866	ERZ845138
MGYG000013450	ERZ834545
MGYG000059153	ERZ944617
MGYG000240325	ERZ852507
MGYG000252470	ERZ847835
MGYG000219994	ERZ842492
MGYG000005980	CAJLEQ01
MGYG000210643	ERZ935528
MGYG000168448	MPID01
MGYG000061760	CUHU01
MGYG000278383	ERZ935779
MGYG000002887	URRX01,CABSSK01
MGYG000203827	ERZ877504
MGYG000104696	QSAU01
MGYG000083910	ERZ894912
MGYG000105493	ERZ904214
MGYG000010214	ERZ843169
MGYG000000287	CABPVW01
MGYG000176628	ERZ842981
MGYG000226479	ERZ896195
MGYG000097396	ERZ936044
MGYG000000067	CABIYE02,FMGA01
MGYG000009952	ERZ849779
MGYG000224192	ERZ946015
MGYG000119984	ERZ829431
MGYG000075836	ERZ929775
MGYG000019395	LPUJ01
MGYG000229058	ERZ866957
MGYG000145316	ERZ877594
MGYG000080890	ERZ836474
MGYG000094137	ERZ979597
MGYG000006982	CAJJTT01
MGYG000276843	ERZ903818
MGYG000103126	ERZ903818
MGYG000213877	ERZ988483
MGYG000223557	ERZ833257
MGYG000052551	ERZ946052
MGYG000093132	ERZ900382
MGYG000080768	ERZ930005
MGYG000223847	ERZ937175
MGYG000151467	ERZ968075
MGYG000163179	JYHZ01
MGYG000018946	ERZ876830
MGYG000189427	ERZ934116
MGYG000210222	ERZ959221
MGYG000208740	ERZ904997
MGYG000027239	ERZ904358
MGYG000165195	ERZ865935
MGYG000247968	ERZ974457
MGYG000136801	ERZ842731
MGYG000193422	QUGO01
MGYG000000161	QSAX01,CABJBR02
MGYG000289383	ERZ961688
MGYG000000296	CABPWA01
MGYG000283797	NMXV01
MGYG000067244	URHQ01
MGYG000275894	ERZ850442
MGYG000088939	ERZ870740
MGYG000127053	USHQ01
MGYG000257220	ERZ876637
MGYG000257917	ERZ898881
MGYG000260681	ERZ864762
MGYG000184615	ERZ836375
MGYG000278656	ERZ987737
MGYG000143704	ERZ845214
MGYG000170159	ERZ985161
MGYG000164985	ERZ843790
MGYG000004140	CABUMP01
MGYG000151678	ERZ982803
MGYG000263876	MISV01
MGYG000232074	ERZ852671
MGYG000170254	ERZ895054
MGYG000251897	ERZ967026
MGYG000231686	ERZ840048
MGYG000062738	ERZ850016
MGYG000058201	ERZ982290
MGYG000285132	ERZ967178
MGYG000054451	ERZ834624
MGYG000173336	ERZ948858
MGYG000150926	ERZ869891
MGYG000004585	CABVCD01
MGYG000035526	ERZ871442
MGYG000121528	CXDZ01
MGYG000122192	ERZ902300
MGYG000145339	ERZ877595
MGYG000145555	ERZ844197
MGYG000168991	ERZ870367
MGYG000281932	ERZ985333
MGYG000233914	ERZ861489
MGYG000054415	CXCI01
MGYG000057184	ERZ958967
MGYG000105149	ERZ933641
MGYG000160328	ERZ900726
MGYG000135164	ERZ987809
MGYG000166725	LNUZ01
MGYG000177328	ERZ934498
MGYG000148352	LJAQ01
MGYG000175135	ERZ842434
MGYG000250204	ERZ935099
MGYG000076001	FTXE01
MGYG000090030	ERZ976767
MGYG000063049	ERZ878460
MGYG000189402	ERZ979333
MGYG000015518	LIDV01
MGYG000003534	CABTPT01,CAAGGF01
MGYG000078250	ERZ971528
MGYG000243126	ERZ968069
MGYG000001201	CABRFB01
MGYG000030910	ERZ836169
MGYG000016139	ERZ874426
MGYG000154036	ERZ976338
MGYG000121153	ERZ874852
MGYG000152467	FTYE01
MGYG000209390	ERZ905718
MGYG000097928	ERZ950249
MGYG000019887	ERZ973794
MGYG000200949	ERZ962579
MGYG000133356	QTMG01
MGYG000119907	ERZ901478
MGYG000142616	ERZ947606
MGYG000201633	ERZ966474
MGYG000157088	ERZ830696
MGYG000274099	ERZ972470
MGYG000012480	ERZ839258
MGYG000224297	ERZ872932
MGYG000006658	CAJJWU01
MGYG000075889	ERZ950280
MGYG000198626	ERZ866491
MGYG000165169	ERZ835676
MGYG000019892	ERZ860808
MGYG000025862	ERZ906733
MGYG000054558	CUUN01
MGYG000032726	ERZ895705
MGYG000097262	ERZ969922
MGYG000197243	ERZ936829
MGYG000005206	CAJKUO01
MGYG000213475	GCA_001405655.1
MGYG000120299	ERZ980931
MGYG000177579	CAAEJY01
MGYG000151599	ERZ977421
MGYG000016144	ERZ901609
MGYG000204877	ERZ975604
MGYG000144584	ERZ977426
MGYG000251601	ERZ870528
MGYG000205210	ERZ859938
MGYG000098698	ERZ930464
MGYG000201835	ERZ963494
MGYG000061246	ERZ960406
MGYG000026536	ERZ928800
MGYG000090833	ERZ987504
MGYG000259325	ERZ866745
MGYG000142629	ERZ946561
MGYG000081083	URPU01
MGYG000078007	CYDN01
MGYG000173347	ERZ962307
MGYG000092471	ERZ988929
MGYG000240147	ERZ946001
MGYG000106135	ERZ927891
MGYG000201266	ERZ978516
MGYG000284610	ERZ946678
MGYG000143487	ERZ868167
MGYG000124723	ERZ988308
MGYG000061351	ERZ1639408,ERZ973864
MGYG000284648	ERZ837742
MGYG000202325	ERZ989221
MGYG000079666	ERZ845725
MGYG000212104	POTE01
MGYG000119832	ERZ877631
MGYG000262321	ERZ945925
MGYG000218426	ERZ960900
MGYG000075449	ERZ847127
MGYG000222077	ERZ846838
MGYG000005617	CAJLJZ01
MGYG000251205	ERZ849925
MGYG000057202	ERZ951016
MGYG000104441	ERZ830246
MGYG000221657	ERZ863899
MGYG000042789	ERZ878828
MGYG000051021	ERZ861110
MGYG000003683	CABOGF01,QSSK01
MGYG000060295	ERZ933597
MGYG000235981	ERZ982256
MGYG000266392	ERZ929610
MGYG000041549	ERZ948105
MGYG000286118	ERZ983908
MGYG000178355	ERZ905216
MGYG000132822	ERZ848951
MGYG000234264	ERZ977381
MGYG000099262	ERZ895091
MGYG000045941	ERZ895343
MGYG000216292	JHSK01
MGYG000018679	ERZ832660
MGYG000093603	ERZ838604
MGYG000039223	FUBK01
MGYG000003203	CABVGH01,CAAEXC01
MGYG000001688	ADLN01,CABLBO02
MGYG000144985	ERZ865865
MGYG000007709	ERZ982386
MGYG000019628	ERZ959959
MGYG000088712	ERZ874585
MGYG000083599	QTNP01
MGYG000145714	ERZ967428
MGYG000255096	LNZL01
MGYG000077429	ERZ847952
MGYG000183192	ERZ982548
MGYG000066461	ERZ848116
MGYG000249237	CZMF01
MGYG000003611	CAAGLF01,CABTTJ01
MGYG000035945	ERZ960342
MGYG000084852	ERZ845594
MGYG000259380	ERZ959657
MGYG000117088	ERZ977784
MGYG000023146	ERZ874432
MGYG000185534	ERZ837222
MGYG000143994	ERZ946853
MGYG000003310	CABTHI01,CAAFMS01
MGYG000089006	ERZ832102
MGYG000213925	QSJV01
MGYG000216651	ERZ904253
MGYG000027889	ERZ972852
MGYG000281228	ERZ982734
MGYG000216306	ERZ871513
MGYG000186288	ERZ988496
MGYG000114276	ERZ861158
MGYG000273688	ERZ838089
MGYG000234893	ERZ945100
MGYG000191548	ERZ904778
MGYG000230720	ERZ867178
MGYG000153700	ERZ864438
MGYG000130458	ERZ862792
MGYG000197807	ERZ852515
MGYG000044323	ERZ833792
MGYG000265323	ERZ896443
MGYG000204356	ERZ838311
MGYG000031765	ERZ875535
MGYG000236369	ERZ944194
MGYG000203466	ERZ902110
MGYG000004494	CABUYP01
MGYG000078365	ERZ973075
MGYG000288221	ERZ984731
MGYG000156737	PGGI01
MGYG000281379	ERZ985872
MGYG000003983	CABUGI01
MGYG000117956	ERZ945665
MGYG000016329	ERZ945029
MGYG000059694	ERZ829632
MGYG000281934	GCA_000935905.1
MGYG000079695	ERZ864313
MGYG000094191	ERZ851732
MGYG000009374	ERZ927073
MGYG000248428	ERZ879372
MGYG000210922	ERZ967712
MGYG000125242	ERZ904104
MGYG000082280	ERZ843526
MGYG000040846	ERZ837258
MGYG000246638	CWWB01
MGYG000059288	ERZ900358
MGYG000066292	ERZ948110
MGYG000252226	ERZ899697
MGYG000142737	ERZ901572
MGYG000131780	ERZ879969
MGYG000141772	USMI01
MGYG000100821	ERZ845253
MGYG000004576	CABVBM01
MGYG000191844	ERZ844437
MGYG000081278	ERZ867352
MGYG000049847	ERZ830687
MGYG000255304	GCA_000156515.1
MGYG000169698	URSM01
MGYG000026284	ERZ898911
MGYG000279354	QRIT01
MGYG000183488	ERZ877679
MGYG000148499	ERZ944559
MGYG000130215	ERZ976513
MGYG000194239	ERZ864228
MGYG000076375	ERZ900713
MGYG000000725	CABQMT01
MGYG000227723	GCA_000157075.1
MGYG000053895	ERZ960672
MGYG000157834	ERZ835243
MGYG000248790	ERZ928024
MGYG000085703	ERZ967871
MGYG000017371	URWR01
MGYG000258463	ERZ904057
MGYG000181753	ERZ929160
MGYG000116445	ERZ836336
MGYG000289346	ERZ829947
MGYG000146231	ERZ848055
MGYG000201449	ERZ986898
MGYG000207664	ERZ872908
MGYG000051036	ERZ832229
MGYG000079168	ERZ899117
MGYG000104855	ERZ962337
MGYG000188139	ERZ980144
MGYG000003437	CABTMC01,CAAFXS01
MGYG000117818	ERZ975569
MGYG000248272	ERZ905084
MGYG000187935	ERZ899844
MGYG000127512	ERZ970800
MGYG000102889	ERZ962942
MGYG000068791	ERZ869079
MGYG000042281	ERZ862876
MGYG000233124	LZDV01
MGYG000093592	ERZ959609
MGYG000121134	ERZ896190
MGYG000134077	QRIF01
MGYG000239615	ERZ874161
MGYG000113372	ERZ861806
MGYG000146359	ERZ906636
MGYG000024510	CUNP01
MGYG000072930	ERZ906157
MGYG000008723	ERZ927235
MGYG000025732	ERZ900376
MGYG000082798	ERZ874708
MGYG000101890	ERZ832886
MGYG000135376	ERZ982126
MGYG000193195	ERZ899898
MGYG000139014	ERZ945590
MGYG000140523	ERZ970498
MGYG000242902	ERZ968289
MGYG000005028	CAJLOC01
MGYG000164069	ERZ845977
MGYG000024179	ERZ833212
MGYG000000327	CABPXL01
MGYG000043196	ERZ977693
MGYG000161121	ERZ931401
MGYG000214331	ERZ930605
MGYG000138517	ERZ865564
MGYG000064788	ERZ967853
MGYG000204059	ERZ966844
MGYG000046852	ERZ979469
MGYG000151189	ERZ877267
MGYG000153170	ERZ973093
MGYG000198560	ERZ934761
MGYG000113704	ERZ852082
MGYG000171286	ERZ948433
MGYG000223641	ERZ927746
MGYG000129193	ERZ876969
MGYG000276882	ERZ834675
MGYG000148431	ERZ906873
MGYG000068065	ERZ983568
MGYG000266226	ERZ845360
MGYG000159222	ERZ986747
MGYG000261772	ERZ899935
MGYG000171677	ERZ935232
MGYG000269106	ERZ902925
MGYG000042632	ERZ878540
MGYG000218337	ERZ949414
MGYG000211583	ERZ870293
MGYG000007067	ERZ833163
MGYG000163927	ERZ838879
MGYG000161696	ERZ847724
MGYG000019621	ERZ933266
MGYG000270155	ERZ900845
MGYG000213431	ERZ969893
MGYG000141184	ERZ946258
MGYG000141577	ERZ988246
MGYG000161465	ERZ983644
MGYG000180994	ERZ946700
MGYG000252194	ERZ873769
MGYG000097661	QVHZ01
MGYG000200038	ERZ894977
MGYG000003064	CABSZK01
MGYG000077089	ERZ901172
MGYG000160400	ERZ861116
MGYG000027802	ERZ848564
MGYG000240254	ERZ976433
MGYG000261409	ERZ872312
MGYG000011216	ERZ852340
MGYG000165491	ERZ872281
MGYG000155461	ERZ849825
MGYG000122527	ERZ960383
MGYG000231966	ERZ874686
MGYG000274709	ERZ944261
MGYG000180935	ERZ968168
MGYG000153545	ERZ970929
MGYG000001750	CABRNF01
MGYG000006543	CAJLHI01
MGYG000050360	ERZ931229
MGYG000207097	ERZ832130
MGYG000006219	CAJLPA01
MGYG000026122	UQDN01
MGYG000037676	ERZ878893
MGYG000107512	ERZ976614
MGYG000117696	ERZ974565
MGYG000234935	NPNN01
MGYG000199262	ERZ849831
MGYG000181729	ERZ988273
MGYG000027584	ERZ829331
MGYG000235494	ERZ985802
MGYG000166770	QSUQ01
MGYG000263575	ERZ847276
MGYG000126366	ERZ861139
MGYG000155688	MZQE01
MGYG000124676	ERZ974300
MGYG000283537	ERZ851367
MGYG000000376	CABPZH01
MGYG000065198	ERZ931504
MGYG000213320	ERZ933890
MGYG000183417	GCA_000221885.1
MGYG000179962	ERZ833040
MGYG000270421	ERZ895713
MGYG000193326	ERZ901904
MGYG000211356	ERZ865698
MGYG000155911	ERZ969839
MGYG000007812	GCA_002007625.1
MGYG000121552	ERZ904904
MGYG000004013	CABUHP01
MGYG000192271	ERZ971981
MGYG000247565	ERZ836239
MGYG000198956	ERZ851167
MGYG000040137	ERZ901559
MGYG000103826	ERZ839365
MGYG000088837	ERZ962737
MGYG000060916	ERZ973264
MGYG000282444	ERZ832264
MGYG000067138	MOYR01
MGYG000145542	ERZ842723
MGYG000005041	CAJLZL01
MGYG000251652	USME01
MGYG000213728	NSBJ01
MGYG000288867	ERZ830892
MGYG000007618	ERZ927061
MGYG000254966	ERZ967367
MGYG000160131	ERZ931897
MGYG000220675	ERZ835638
MGYG000174468	ERZ984101
MGYG000264886	ERZ832663
MGYG000273541	ERZ981838
MGYG000006715	CAJLBH01
MGYG000004060	CABUJO01
MGYG000193945	ERZ903991
MGYG000121860	ERZ860317
MGYG000241215	ERZ836798
MGYG000028838	ERZ868678
MGYG000068400	GCA_000940115.1
MGYG000174218	ERZ829256
MGYG000059719	ERZ899721
MGYG000048383	ERZ843520
MGYG000260610	ERZ963229
MGYG000260119	ERZ899068
MGYG000116835	ERZ966096
MGYG000067137	ERZ834350
MGYG000247814	ERZ935920
MGYG000004833	CAJLUU01
MGYG000179087	ERZ986758
MGYG000208126	ERZ831861
MGYG000033758	ERZ861554
MGYG000029560	ERZ836384
MGYG000082013	ERZ989465
MGYG000039099	ERZ944603
MGYG000201694	ERZ980579
MGYG000221525	ERZ851133
MGYG000005567	CAJKZS01
MGYG000204223	ERZ936076
MGYG000137162	BEFC01
MGYG000130557	FAVY01
MGYG000017929	ERZ936733
MGYG000164537	ERZ977376
MGYG000288272	ERZ874115
MGYG000070533	ERZ985539
MGYG000040173	ERZ906825
MGYG000028530	ERZ907000
MGYG000062332	ERZ946533
MGYG000269365	ERZ940369
MGYG000277295	ERZ834783
MGYG000013740	ERZ1632759,ERZ898200
MGYG000015860	URFW01
MGYG000097231	ERZ971337
MGYG000263111	ERZ844392
MGYG000016547	ERZ842768
MGYG000204401	ERZ843089
MGYG000032690	ERZ860124
MGYG000226893	ERZ845948
MGYG000086076	ERZ979997
MGYG000033855	CAAFKG01
MGYG000124942	ERZ873897
MGYG000251706	ERZ873675
MGYG000147173	ERZ982489
MGYG000234761	ERZ861458
MGYG000141723	ERZ900072
MGYG000150655	ERZ860905
MGYG000049132	ERZ862040
MGYG000135215	ERZ928120
MGYG000158061	CUVZ01
MGYG000269994	ERZ902967
MGYG000238374	FTZV01
MGYG000180187	ERZ838454
MGYG000213656	ERZ879442
MGYG000002924	UQBS01,CABSUE01
MGYG000180041	ERZ980382
MGYG000021115	GCA_001405615.1
MGYG000176921	ERZ987744
MGYG000001604	CABRIW01
MGYG000041449	ERZ901877
MGYG000095676	ERZ850545
MGYG000267267	ERZ899416
MGYG000064063	ERZ973205
MGYG000282714	ERZ835722
MGYG000091769	ERZ860102
MGYG000064859	ERZ929503
MGYG000072565	AQDJ01
MGYG000244762	ERZ839579
MGYG000239339	ERZ931778
MGYG000281224	NNYY01
MGYG000138796	ERZ868310
MGYG000123787	ERZ987295
MGYG000003407	CABTKY01
MGYG000130997	ERZ836580
MGYG000122945	ERZ865361
MGYG000063434	ERZ846170
MGYG000048337	ERZ843052
MGYG000234524	ERZ876423
MGYG000039440	ERZ860682
MGYG000081345	ERZ905585
MGYG000055257	ERZ946133
MGYG000250335	ERZ971275
MGYG000119647	CUOG01
MGYG000135259	ERZ937306
MGYG000265088	ERZ934233
MGYG000066650	ERZ845548
MGYG000223164	ERZ833506
MGYG000289003	ERZ986973
MGYG000197946	CYDM01
MGYG000064954	ERZ969268
MGYG000070638	ERZ962155
MGYG000190146	ERZ976419
MGYG000110411	ERZ987193
MGYG000163898	ERZ830119
MGYG000289303	ERZ961119
MGYG000199535	ERZ973488
MGYG000057102	ERZ962751
MGYG000048644	ERZ906564
MGYG000018049	ERZ960628
MGYG000142022	GCA_001693635.1
MGYG000212919	ERZ831693
MGYG000026190	ERZ860894
MGYG000081626	ERZ945713
MGYG000001855	CABRRH01
MGYG000229101	ERZ988005
MGYG000231270	ERZ976781
MGYG000029604	ERZ875594
MGYG000285303	ERZ874480
MGYG000095747	ERZ944698
MGYG000110243	ERZ988456
MGYG000177630	ERZ846544
MGYG000069811	ERZ961367
MGYG000221556	ERZ929570
MGYG000059856	ERZ977303
MGYG000041258	ERZ930363
MGYG000112299	ERZ906862
MGYG000132041	ERZ959403
MGYG000061718	ERZ901463
MGYG000028795	ERZ877094
MGYG000096218	ERZ861302
MGYG000192528	QRWT01
MGYG000080878	ERZ873487
MGYG000094094	ERZ966014
MGYG000154943	ERZ844888
MGYG000092456	ERZ836753
MGYG000001137	CABRCS01
MGYG000131626	ERZ974796
MGYG000033665	ERZ934216
MGYG000212644	ERZ849521
MGYG000137146	ERZ945981
MGYG000093008	ERZ899012
MGYG000234041	ERZ933605
MGYG000060253	ERZ835306
MGYG000053166	ERZ987277
MGYG000252339	ERZ974345
MGYG000144957	ERZ970096
MGYG000083899	ERZ879679
MGYG000175919	ERZ876931
MGYG000227310	ERZ904374
MGYG000267832	ERZ985140
MGYG000169730	ERZ836378
MGYG000282274	ERZ868633
MGYG000234137	ERZ871323
MGYG000203095	ERZ986884
MGYG000140839	ERZ865496
MGYG000214969	ERZ973507
MGYG000083228	CALK01
MGYG000008544	ERZ843245
MGYG000064756	ERZ871602
MGYG000107924	ERZ832584
MGYG000200701	ERZ829502
MGYG000043728	ERZ967789
MGYG000006867	CAJKGO01
MGYG000224619	NJZS01
MGYG000058973	CUSQ01
MGYG000265269	ERZ838279
MGYG000249678	AGZN01
MGYG000252934	ERZ877337
MGYG000281267	ERZ980911
MGYG000052038	ERZ931349
MGYG000084973	ERZ895788
MGYG000187259	ERZ832444
MGYG000071466	CAJKES01
MGYG000279464	ERZ935188
MGYG000046521	ERZ961849
MGYG000260247	ERZ860185
MGYG000127247	ERZ872807
MGYG000208372	ERZ860937
MGYG000163709	ERZ935897
MGYG000190035	QTMV01
MGYG000239652	FTXA01
MGYG000263193	ERZ834494
MGYG000257915	ERZ945551
MGYG000201314	ERZ969943
MGYG000078762	ERZ978439
MGYG000250202	ERZ985120
MGYG000274997	BDPI01
MGYG000061677	ERZ935001
MGYG000055846	ERZ930641
MGYG000085007	ERZ837385
MGYG000119096	ERZ869383
MGYG000269105	ERZ845797
MGYG000195552	ERZ898680
MGYG000152779	ERZ863540
MGYG000005919	CAJLUQ01
MGYG000033635	ERZ844251
MGYG000062730	ERZ928193
MGYG000252574	ERZ989493
MGYG000247149	FMFV01
MGYG000087818	AMJV01
MGYG000089831	ERZ875194
MGYG000178059	ERZ835768
MGYG000056705	ERZ876655
MGYG000154455	ERZ927843
MGYG000027134	ERZ876642
MGYG000288952	NRXV01
MGYG000022959	ERZ896688
MGYG000049416	ERZ842872
MGYG000220194	ERZ845625
MGYG000243685	ERZ981530
MGYG000146784	ERZ933777
MGYG000175072	ERZ970116
MGYG000093209	ERZ934899
MGYG000048785	ERZ833592
MGYG000001357	GCA_000178935.2
MGYG000155580	ERZ928795
MGYG000232326	UQTQ01
MGYG000270293	ERZ944743
MGYG000060602	ERZ935375
MGYG000129533	ERZ877174
MGYG000263603	ERZ902221
MGYG000111331	ERZ946146
MGYG000054798	ERZ980779
MGYG000052327	ERZ966575
MGYG000049865	GCA_001409195.1
MGYG000174288	ERZ850810
MGYG000050445	ERZ972101
MGYG000141587	ERZ877804
MGYG000014409	ERZ947886
MGYG000216489	ERZ929914
MGYG000130135	ERZ972963
MGYG000282033	ERZ933412
MGYG000008781	FTSN01
MGYG000192136	ERZ863918
MGYG000224429	ERZ874936
MGYG000081502	ERZ838866
MGYG000030609	ERZ837412
MGYG000177626	ERZ935774
MGYG000161478	ERZ960874
MGYG000160155	ERZ987901
MGYG000110640	ERZ940378
MGYG000110360	ERZ870534
MGYG000271720	ERZ946173
MGYG000071760	ERZ842540
MGYG000243227	ERZ839170
MGYG000036309	ERZ876329
MGYG000207260	ERZ906921
MGYG000036963	ERZ944100
MGYG000217158	ERZ959228
MGYG000084262	ERZ946402
MGYG000004467	CABUXL01
MGYG000102071	ERZ987063
MGYG000247015	NFPL01
MGYG000237689	ERZ878021
MGYG000244331	ERZ980199
MGYG000057875	ERZ986026
MGYG000066027	ERZ898251
MGYG000245040	FTSZ01
MGYG000091947	ERZ869529
MGYG000144304	ERZ930565
MGYG000078430	ERZ987353
MGYG000094129	ERZ848661
MGYG000236918	ERZ844675
MGYG000064857	ERZ931617
MGYG000082680	ERZ848570
MGYG000228510	ERZ906972
MGYG000186036	ERZ975986
MGYG000000897	CAJKRY01,CABQTL01
MGYG000053521	JSSX01
MGYG000114161	ERZ949508
MGYG000190124	ERZ874701
MGYG000000239	CABJEM02,QRJO01
MGYG000226024	ERZ898614
MGYG000251400	ERZ907099
MGYG000195864	ERZ901598
MGYG000021848	ERZ971013
MGYG000014620	NPOL01
MGYG000254356	ERZ949247
MGYG000037197	ERZ935738
MGYG000020331	ERZ937023
MGYG000094118	ERZ835461
MGYG000136687	ERZ973383
MGYG000155080	ERZ959937
MGYG000005458	CAJMJM01
MGYG000007206	ERZ838755
MGYG000178803	ERZ845960
MGYG000108781	ERZ899308
MGYG000050372	ERZ905296
MGYG000005012	CAJJNM01
MGYG000116395	ERZ985840
MGYG000114039	QSUA01
MGYG000177836	ERZ872375
MGYG000177345	ERZ944470
MGYG000063868	ERZ851760
MGYG000158075	ERZ984562
MGYG000274973	ERZ861411
MGYG000129852	ERZ850206
MGYG000268734	ERZ838831
MGYG000207356	ERZ933867
MGYG000097029	BEEX01
MGYG000088061	ERZ975169
MGYG000012211	ERZ863513
MGYG000092539	ERZ843267
MGYG000210244	ERZ929735
MGYG000000813	CABQPR01,URNV01
MGYG000128540	ERZ927356
MGYG000063099	ERZ842456
MGYG000135669	ERZ980538
MGYG000281583	ERZ864541
MGYG000064569	ERZ851865
MGYG000224741	ERZ978866
MGYG000003723	CABTWO01
MGYG000090202	URCA01
MGYG000281297	ERZ879449
MGYG000219108	ERZ868321
MGYG000107237	CAAGPP01
MGYG000039541	CXJT01
MGYG000171952	ERZ971207
MGYG000148869	ERZ937634
MGYG000008479	ERZ845675
MGYG000129674	ERZ949842
MGYG000181400	QVEY01
MGYG000003115	CABTAD01,USTU01
MGYG000092164	ERZ899026
MGYG000182630	ERZ933600
MGYG000284481	ERZ931058
MGYG000077669	ERZ900559
MGYG000127301	ERZ844040
MGYG000234730	ERZ876223
MGYG000281520	ERZ876340
MGYG000047203	ERZ867096
MGYG000130513	ERZ904946
MGYG000280606	ERZ985032
MGYG000001729	CABRMG01
MGYG000243708	ERZ984612
MGYG000189501	ERZ849718
MGYG000214500	ERZ846637
MGYG000034666	GCA_000345565.2
MGYG000082488	ERZ972601
MGYG000007503	ERZ850644
MGYG000066522	ERZ934052
MGYG000087838	ERZ936886
MGYG000037805	QRVA01
MGYG000040782	ERZ901399
MGYG000084706	ERZ947730
MGYG000017403	ERZ966804
MGYG000257577	ERZ983872
MGYG000191893	ERZ850693
MGYG000030356	ERZ959418
MGYG000010229	ERZ829639
MGYG000068322	ERZ879046
MGYG000232341	CXFU01
MGYG000066093	ERZ837446
MGYG000229996	ERZ985707
MGYG000079789	ERZ988274
MGYG000282079	ERZ835816
MGYG000038311	PUIR01
MGYG000003140	UQOU01,CABTBG01
MGYG000054662	QSRZ01
MGYG000181168	ERZ850736
MGYG000125046	ERZ979494
MGYG000174622	ERZ899559
MGYG000054314	ERZ937358
MGYG000182284	ERZ834592
MGYG000122707	ERZ977209
MGYG000200518	CXZJ01
MGYG000020383	ERZ903153
MGYG000264919	ERZ975737
MGYG000046224	ERZ871870,ERZ1573580
MGYG000283012	ERZ863677
MGYG000031004	ERZ839051
MGYG000161086	ERZ829120
MGYG000211438	ERZ975935
MGYG000084218	ERZ847075
MGYG000017509	UQMH01
MGYG000046359	ERZ963453
MGYG000004668	CAJMOG01
